,YRMNTH,Entity_Type,Ntr_Of_Bsns_Sctr1,MINR_HD_CD,Total_Amount
1,200504,Company,Manufacturing,100,299477185
2,200505,Company,Manufacturing,100,614676229
3,200506,Company,Manufacturing,100,32947793344
4,200507,Company,Manufacturing,100,499120827
5,200508,Company,Manufacturing,100,423717657
6,200509,Company,Manufacturing,100,61370098512
7,200510,Company,Manufacturing,100,1199148468
8,200511,Company,Manufacturing,100,1478851011
9,200512,Company,Manufacturing,100,71113683578
10,200601,Company,Manufacturing,100,1019402656
11,200602,Company,Manufacturing,100,667343712
12,200603,Company,Manufacturing,100,85065687752
13,200604,Company,Manufacturing,100,1428907317
14,200605,Company,Manufacturing,100,452540064
15,200606,Company,Manufacturing,100,41903289029
16,200607,Company,Manufacturing,100,2387106877
17,200608,Company,Manufacturing,100,882917072
18,200609,Company,Manufacturing,100,93407872945
19,200610,Company,Manufacturing,100,974037211
20,200611,Company,Manufacturing,100,509877116
21,200612,Company,Manufacturing,100,1.19E+11
22,200701,Company,Manufacturing,100,937952842
23,200702,Company,Manufacturing,100,786801283
24,200703,Company,Manufacturing,100,1.11E+11
25,200704,Company,Manufacturing,100,848442755
26,200705,Company,Manufacturing,100,279367513
27,200706,Company,Manufacturing,100,59953845952
28,200707,Company,Manufacturing,100,774992445
29,200708,Company,Manufacturing,100,242356992
30,200709,Company,Manufacturing,100,1.2E+11
31,200710,Company,Manufacturing,100,1122892230
32,200711,Company,Manufacturing,100,674066486
33,200712,Company,Manufacturing,100,1.55E+11
34,200801,Company,Manufacturing,100,894395947
35,200802,Company,Manufacturing,100,804534681
36,200803,Company,Manufacturing,100,1.4E+11
37,200804,Company,Manufacturing,100,700162751
38,200805,Company,Manufacturing,100,204608231
39,200806,Company,Manufacturing,100,68165926464
40,200807,Company,Manufacturing,100,564108661
41,200808,Company,Manufacturing,100,443650097
42,200809,Company,Manufacturing,100,1.34E+11
43,200810,Company,Manufacturing,100,432150742
44,200811,Company,Manufacturing,100,210886205
45,200812,Company,Manufacturing,100,93133918429
46,200901,Company,Manufacturing,100,650386698
47,200902,Company,Manufacturing,100,698058219
48,200903,Company,Manufacturing,100,1.06E+11
49,200904,Company,Manufacturing,100,256026487
50,200905,Company,Manufacturing,100,72678500
51,200906,Company,Manufacturing,100,61169697455
52,200907,Company,Manufacturing,100,294570841
53,200908,Company,Manufacturing,100,259501905
54,200909,Company,Manufacturing,100,1.6E+11
55,200910,Company,Manufacturing,100,580590569
56,200911,Company,Manufacturing,100,572735996
57,200912,Company,Manufacturing,100,1.67E+11
58,201001,Company,Manufacturing,100,920549367
59,201002,Company,Manufacturing,100,1287664431
60,201003,Company,Manufacturing,100,1.8E+11
61,201004,Company,Manufacturing,100,147019038
62,201005,Company,Manufacturing,100,120382534
63,201006,Company,Manufacturing,100,87707554854
64,201007,Company,Manufacturing,100,520034060
65,201008,Company,Manufacturing,100,282852759
66,201009,Company,Manufacturing,100,1.72E+11
67,201010,Company,Manufacturing,100,694619363
68,201011,Company,Manufacturing,100,894922582
69,201012,Company,Manufacturing,100,1.99E+11
70,201101,Company,Manufacturing,100,936333166
71,201102,Company,Manufacturing,100,1055146524
72,201103,Company,Manufacturing,100,2.05E+11
73,201104,Company,Manufacturing,100,36986367
74,201105,Company,Manufacturing,100,100573094
75,201106,Company,Manufacturing,100,99088448910
76,201107,Company,Manufacturing,100,766824613
77,201108,Company,Manufacturing,100,518304009
78,201109,Company,Manufacturing,100,1.86E+11
79,201110,Company,Manufacturing,100,683198517
80,201111,Company,Manufacturing,100,865905790
81,201112,Company,Manufacturing,100,1.87E+11
82,201201,Company,Manufacturing,100,834227564
83,201202,Company,Manufacturing,100,1441748188
84,201203,Company,Manufacturing,100,1.92E+11
85,201204,Company,Manufacturing,100,57150670
86,201205,Company,Manufacturing,100,123794035
87,201206,Company,Manufacturing,100,96767303758
88,201207,Company,Manufacturing,100,361002982
89,201208,Company,Manufacturing,100,736071969
90,201209,Company,Manufacturing,100,1.83E+11
91,201210,Company,Manufacturing,100,597552752
92,201211,Company,Manufacturing,100,900492177
93,201212,Company,Manufacturing,100,2.06E+11
94,201301,Company,Manufacturing,100,1306378049
95,201302,Company,Manufacturing,100,1928211781
96,201303,Company,Manufacturing,100,1.92E+11
97,201304,Company,Manufacturing,100,52117838
98,201305,Company,Manufacturing,100,276633885
99,201306,Company,Manufacturing,100,98338240301
100,201307,Company,Manufacturing,100,429271855
101,201308,Company,Manufacturing,100,324940498
102,201309,Company,Manufacturing,100,1.93E+11
103,201310,Company,Manufacturing,100,768495084
104,201311,Company,Manufacturing,100,784008959
105,201312,Company,Manufacturing,100,2.33E+11
106,201401,Company,Manufacturing,100,1066893998
107,201402,Company,Manufacturing,100,1625394029
108,201403,Company,Manufacturing,100,2.31E+11
109,201404,Company,Manufacturing,100,141518304
110,201405,Company,Manufacturing,100,298163439
111,201406,Company,Manufacturing,100,1.21E+11
112,201407,Company,Manufacturing,100,391428719
113,201408,Company,Manufacturing,100,540256786
114,201409,Company,Manufacturing,100,2.35E+11
115,201410,Company,Manufacturing,100,1382129655
116,201411,Company,Manufacturing,100,640780830
117,201412,Company,Manufacturing,100,2.41E+11
118,201501,Company,Manufacturing,100,1140500882
119,201502,Company,Manufacturing,100,1658875610
120,201503,Company,Manufacturing,100,2.28E+11
121,201504,Company,Manufacturing,100,123713121
122,201505,Company,Manufacturing,100,107310126
123,201506,Company,Manufacturing,100,1.29E+11
124,201507,Company,Manufacturing,100,416829093
125,201508,Company,Manufacturing,100,517362850
126,201509,Company,Manufacturing,100,2.57E+11
127,201510,Company,Manufacturing,100,528017739
128,201511,Company,Manufacturing,100,893086211
129,201512,Company,Manufacturing,100,2.97E+11
130,201601,Company,Manufacturing,100,1264777012
131,201602,Company,Manufacturing,100,1773283884
